iter	Passed	Remaining
0	57	57792
1	58	29077
2	58	19524
3	59	14775
4	59	11890
5	60	9963
6	60	8580
7	60	7541
8	61	6742
9	61	6096
10	62	5574
11	62	5131
12	62	4762
13	63	4441
14	63	4168
15	63	3926
16	64	3712
17	64	3521
18	64	3354
19	65	3199
20	65	3060
21	66	2934
22	66	2815
23	66	2713
24	67	2616
25	67	2526
26	67	2440
27	68	2362
28	68	2289
29	68	2222
30	69	2158
31	69	2096
32	69	2039
33	69	1987
34	70	1935
35	70	1888
36	70	1844
37	71	1802
38	71	1762
39	71	1724
40	72	1686
41	72	1652
42	72	1620
43	73	1590
44	73	1559
45	73	1530
46	74	1502
47	74	1475
48	74	1450
49	75	1427
50	75	1403
51	75	1379
52	75	1357
53	76	1336
54	76	1316
55	76	1296
56	77	1277
57	77	1258
58	77	1241
59	78	1226
60	78	1209
61	78	1193
62	79	1178
63	79	1164
64	79	1150
65	80	1137
66	80	1123
67	80	1109
68	81	1097
69	81	1084
70	81	1071
71	82	1059
72	82	1048
73	83	1038
74	83	1027
75	83	1016
76	83	1005
77	84	994
78	84	985
79	84	977
80	85	967
81	85	958
82	85	948
83	86	939
84	86	930
85	86	921
86	87	913
87	87	904
88	87	896
89	87	888
90	88	881
91	88	873
92	88	866
93	89	860
94	89	854
95	89	847
96	90	840
97	90	833
98	90	827
99	91	820
100	91	813
101	91	807
102	92	801
103	92	795
104	92	789
105	93	785
106	93	780
107	93	775
108	94	770
109	94	765
110	94	759
111	95	753
112	95	748
113	95	744
114	96	739
115	96	734
116	96	728
117	96	724
118	97	719
119	97	715
120	97	710
121	98	705
122	98	700
123	98	696
124	99	693
125	99	688
126	99	684
127	99	681
128	100	677
129	100	673
130	100	669
131	101	666
132	101	662
133	102	659
134	102	656
135	102	652
136	103	649
137	103	645
138	103	642
139	104	639
140	104	637
141	104	633
142	105	630
143	105	627
144	105	624
145	106	621
146	106	618
147	106	615
148	107	612
149	107	609
150	107	606
151	108	603
152	108	600
153	108	597
154	109	594
155	109	591
156	109	588
157	109	586
158	110	583
159	110	580
160	110	577
161	111	575
162	111	572
163	111	569
164	112	567
165	112	564
166	112	561
167	112	559
168	113	556
169	113	553
170	113	551
171	114	548
172	114	546
173	114	543
174	114	541
175	115	539
176	115	537
177	115	534
178	116	532
179	116	530
180	116	528
181	117	526
182	117	524
183	117	522
184	118	520
185	118	518
186	118	516
187	119	514
188	119	511
189	119	509
190	119	508
191	120	506
192	120	504
193	120	502
194	121	500
195	121	499
196	121	497
197	122	495
198	122	493
199	122	491
200	123	490
201	123	488
202	124	486
203	124	485
204	124	483
205	125	482
206	125	480
207	125	478
208	125	476
209	126	474
210	126	472
211	126	471
212	127	469
213	127	467
214	127	466
215	127	464
216	128	462
217	128	461
218	129	460
219	129	458
220	129	456
221	129	455
222	130	453
223	130	452
224	130	451
225	131	449
226	131	448
227	132	447
228	132	445
229	132	444
230	133	442
231	133	441
232	133	440
233	134	438
234	134	437
235	134	436
236	135	434
237	135	433
238	135	431
239	135	430
240	136	429
241	136	427
242	136	426
243	137	424
244	137	423
245	137	422
246	138	420
247	138	419
248	138	418
249	138	416
250	139	415
251	139	414
252	139	413
253	140	412
254	140	411
255	141	409
256	141	408
257	141	407
258	141	406
259	142	405
260	142	403
261	142	402
262	143	401
263	143	400
264	143	398
265	144	397
266	144	396
267	144	395
268	145	394
269	145	393
270	145	392
271	146	391
272	146	390
273	146	389
274	147	388
275	147	387
276	148	386
277	148	385
278	148	384
279	149	383
280	149	382
281	149	381
282	150	380
283	150	379
284	150	378
285	151	377
286	151	376
287	151	374
288	151	373
289	152	372
290	152	371
291	152	370
292	153	369
293	153	368
294	153	368
295	154	367
296	154	366
297	154	365
298	155	363
299	155	363
300	155	362
301	156	361
302	156	360
303	156	358
304	157	358
305	157	357
306	157	356
307	158	355
308	158	354
309	158	353
310	159	352
311	159	351
312	159	350
313	160	349
314	160	348
315	160	347
316	160	346
317	161	345
318	161	345
319	162	344
320	162	343
321	162	342
322	163	341
323	163	340
324	163	340
325	164	339
326	164	338
327	164	337
328	164	336
329	165	335
330	165	334
331	165	333
332	166	332
333	166	332
334	167	331
335	167	330
336	167	329
337	168	329
338	168	328
339	168	327
340	169	327
341	169	326
342	169	325
343	170	324
344	170	323
345	170	323
346	171	322
347	171	321
348	171	320
349	172	319
350	172	318
351	172	318
352	173	317
353	173	316
354	173	315
355	174	315
356	174	314
357	174	313
358	175	313
359	175	312
360	176	311
361	176	310
362	176	310
363	177	309
364	177	309
365	177	308
366	178	307
367	178	306
368	178	305
369	179	305
370	179	304
371	179	303
372	180	302
373	180	302
374	180	301
375	181	300
376	181	299
377	181	298
378	181	297
379	182	297
380	182	296
381	182	295
382	182	294
383	183	293
384	183	293
385	183	292
386	184	291
387	184	290
388	184	289
389	184	289
390	185	288
391	185	287
392	185	286
393	185	286
394	186	285
395	186	284
396	186	283
397	187	282
398	187	282
399	187	281
400	187	280
401	188	279
402	188	279
403	188	278
404	189	277
405	189	276
406	190	277
407	190	276
408	190	275
409	191	274
410	191	274
411	191	273
412	191	272
413	192	271
414	192	271
415	192	270
416	192	269
417	193	269
418	193	268
419	193	267
420	194	266
421	194	266
422	194	265
423	194	264
424	195	263
425	195	263
426	195	262
427	195	261
428	196	261
429	196	260
430	196	259
431	196	258
432	197	258
433	197	257
434	197	256
435	197	256
436	198	255
437	198	254
438	198	254
439	199	253
440	199	252
441	199	252
442	199	251
443	200	250
444	200	250
445	200	249
446	201	248
447	201	248
448	201	247
449	201	246
450	202	246
451	202	245
452	202	244
453	203	244
454	203	243
455	203	242
456	203	242
457	204	241
458	204	240
459	204	240
460	204	239
461	205	238
462	205	238
463	205	237
464	206	237
465	206	236
466	206	235
467	206	235
468	207	234
469	207	233
470	207	233
471	208	232
472	208	232
473	208	231
474	208	230
475	209	230
476	209	229
477	209	229
478	209	228
479	210	227
480	210	227
481	210	226
482	211	225
483	211	225
484	211	224
485	211	224
486	212	223
487	212	222
488	212	222
489	212	221
490	213	221
491	213	220
492	213	219
493	214	219
494	214	218
495	214	218
496	214	217
497	215	216
498	215	216
499	215	215
500	216	215
501	216	214
502	216	213
503	216	213
504	217	212
505	217	212
506	217	211
507	217	210
508	218	210
509	218	209
510	218	209
511	218	208
512	219	208
513	219	207
514	219	206
515	220	206
516	220	205
517	220	205
518	220	204
519	221	204
520	221	203
521	221	202
522	221	202
523	222	201
524	222	201
525	222	200
526	223	200
527	223	199
528	223	199
529	223	198
530	224	197
531	224	197
532	224	196
533	224	196
534	225	195
535	225	195
536	225	194
537	225	194
538	226	193
539	226	192
540	226	192
541	226	191
542	227	191
543	227	190
544	227	190
545	228	189
546	228	189
547	228	188
548	228	188
549	229	187
550	229	186
551	229	186
552	230	185
553	230	185
554	230	184
555	230	184
556	231	183
557	231	183
558	231	182
559	231	182
560	232	181
561	232	181
562	232	180
563	233	180
564	233	179
565	233	179
566	233	178
567	234	178
568	234	177
569	234	177
570	234	176
571	235	175
572	235	175
573	235	174
574	236	174
575	236	173
576	236	173
577	236	172
578	237	172
579	237	171
580	237	171
581	238	170
582	238	170
583	238	169
584	238	169
585	239	168
586	239	168
587	239	167
588	239	167
589	240	166
590	240	166
591	240	165
592	241	165
593	241	164
594	241	164
595	241	163
596	242	163
597	242	162
598	242	162
599	242	161
600	243	161
601	243	160
602	243	160
603	243	159
604	244	159
605	244	158
606	244	158
607	245	157
608	245	157
609	245	157
610	245	156
611	246	156
612	246	155
613	246	155
614	246	154
615	247	154
616	247	153
617	247	153
618	248	152
619	248	152
620	248	151
621	248	151
622	249	150
623	249	150
624	249	149
625	250	149
626	250	148
627	250	148
628	250	147
629	251	147
630	251	147
631	251	146
632	251	146
633	252	145
634	252	145
635	252	144
636	253	144
637	253	143
638	253	143
639	254	142
640	254	142
641	254	141
642	254	141
643	255	141
644	255	140
645	255	140
646	255	139
647	256	139
648	256	138
649	256	138
650	256	137
651	257	137
652	257	136
653	257	136
654	257	135
655	258	135
656	258	134
657	258	134
658	258	134
659	259	133
660	259	133
661	259	132
662	260	132
663	260	131
664	260	131
665	261	130
666	261	130
667	261	130
668	261	129
669	262	129
670	262	128
671	262	128
672	262	127
673	263	127
674	263	126
675	263	126
676	263	125
677	264	125
678	264	125
679	264	124
680	264	124
681	265	123
682	265	123
683	265	122
684	266	122
685	266	121
686	266	121
687	266	121
688	267	120
689	267	120
690	267	119
691	268	119
692	268	118
693	268	118
694	268	117
695	269	117
696	269	117
697	269	116
698	269	116
699	270	115
700	270	115
701	270	114
702	270	114
703	271	114
704	271	113
705	271	113
706	272	112
707	272	112
708	272	111
709	272	111
710	273	111
711	273	110
712	273	110
713	274	109
714	274	109
715	274	108
716	274	108
717	275	108
718	275	107
719	275	107
720	276	106
721	276	106
722	276	105
723	276	105
724	277	105
725	277	104
726	277	104
727	277	103
728	278	103
729	278	103
730	278	102
731	279	102
732	279	101
733	279	101
734	279	100
735	280	100
736	280	100
737	280	99
738	280	99
739	281	98
740	281	98
741	281	97
742	282	97
743	282	97
744	282	96
745	282	96
746	283	95
747	283	95
748	283	95
749	284	94
750	284	94
751	284	93
752	284	93
753	285	93
754	285	92
755	285	92
756	285	91
757	286	91
758	286	90
759	286	90
760	286	90
761	287	89
762	287	89
763	287	88
764	288	88
765	288	88
766	288	87
767	288	87
768	289	86
769	289	86
770	289	86
771	289	85
772	290	85
773	290	84
774	290	84
775	291	84
776	291	83
777	291	83
778	292	82
779	292	82
780	292	82
781	292	81
782	293	81
783	293	80
784	293	80
785	294	80
786	294	79
787	294	79
788	294	78
789	295	78
790	295	78
791	295	77
792	295	77
793	296	76
794	296	76
795	296	76
796	297	75
797	297	75
798	297	74
799	297	74
800	298	74
801	298	73
802	298	73
803	298	72
804	299	72
805	299	72
806	300	71
807	300	71
808	300	70
809	300	70
810	301	70
811	301	69
812	301	69
813	302	69
814	302	68
815	302	68
816	302	67
817	303	67
818	303	67
819	303	66
820	303	66
821	304	65
822	304	65
823	304	65
824	304	64
825	305	64
826	305	63
827	305	63
828	306	63
829	306	62
830	306	62
831	306	61
832	307	61
833	307	61
834	307	60
835	307	60
836	308	60
837	308	59
838	308	59
839	308	58
840	309	58
841	309	58
842	309	57
843	310	57
844	310	56
845	310	56
846	310	56
847	311	55
848	311	55
849	311	54
850	311	54
851	312	54
852	312	53
853	312	53
854	312	53
855	313	52
856	313	52
857	313	51
858	314	51
859	314	51
860	314	50
861	314	50
862	315	50
863	315	49
864	315	49
865	315	48
866	316	48
867	316	48
868	316	47
869	316	47
870	317	46
871	317	46
872	317	46
873	317	45
874	318	45
875	318	45
876	318	44
877	318	44
878	319	43
879	319	43
880	319	43
881	320	42
882	320	42
883	320	42
884	320	41
885	321	41
886	321	40
887	321	40
888	321	40
889	322	39
890	322	39
891	322	39
892	322	38
893	323	38
894	323	37
895	323	37
896	324	37
897	324	36
898	324	36
899	324	36
900	325	35
901	325	35
902	325	34
903	325	34
904	326	34
905	326	33
906	326	33
907	326	33
908	327	32
909	327	32
910	327	32
911	328	31
912	328	31
913	328	30
914	329	30
915	329	30
916	329	29
917	330	29
918	330	29
919	330	28
920	330	28
921	331	28
922	331	27
923	331	27
924	331	26
925	332	26
926	332	26
927	332	25
928	332	25
929	333	25
930	333	24
931	333	24
932	334	23
933	334	23
934	334	23
935	334	22
936	335	22
937	335	22
938	335	21
939	335	21
940	336	21
941	336	20
942	336	20
943	336	19
944	337	19
945	337	19
946	337	18
947	338	18
948	338	18
949	338	17
950	339	17
951	339	17
952	339	16
953	340	16
954	340	16
955	340	15
956	340	15
957	341	14
958	341	14
959	341	14
960	342	13
961	342	13
962	342	13
963	342	12
964	343	12
965	343	12
966	343	11
967	344	11
968	344	11
969	344	10
